exp,family,mechanism,entry,exit,N,TPW,NET,NET_USD,PF,WR,EXP_R,RM_BEST1,MAXDD_USD,BY_FOLD,BY_YEAR,STRESS_NET,STRESS_PF,GATE
E02,E_GAP,large gap overextends; revert to prior close,"|gap|>=0.5 ATR, first 15m fails to extend",hard stop beyond 15m extreme + target prior close + time 18,339,1.09,-1.5,-7.5,0.0,0.0,-0.118,-1.5,-2542.5,"{""DISCOVERY"": -1.5, ""REPLICATION"": -1.5, ""VALIDATION"": -1.5}","{""2020"": -1.5, ""2021"": -1.5, ""2022"": -1.5, ""2023"": -1.5, ""2024"": -1.5, ""2025"": -1.5}",-3.0,0.0,FAIL:net<=0;PF=0.0;rm_best<=0;pos_years=0
F01,F_ON_INVENTORY,extreme overnight return continues,"overnight z>=1.5 at 09:35, with the z sign",hard stop @ first-10m extreme + chandelier 1.0 + EOD,232,0.75,8.136,40.68,1.279,0.22,-0.186,4.704,-4646.2,"{""DISCOVERY"": 1.386, ""REPLICATION"": 7.096, ""VALIDATION"": 16.119}","{""2020"": -6.866, ""2021"": 9.844, ""2022"": 33.354, ""2023"": -2.98, ""2024"": 38.35, ""2025"": -21.691}",6.636,1.219,FAIL:pos_years=3;year_concentration>60%
F02,F_ON_INVENTORY,extreme overnight crowd trapped; reverts,"overnight z>=1.5, against the z sign",hard stop beyond 10m extreme + target VWAP + time 12,232,0.75,-11.414,-57.07,0.447,0.349,-0.568,-12.248,-14003.9,"{""DISCOVERY"": -8.677, ""REPLICATION"": -14.125, ""VALIDATION"": -11.718}","{""2020"": -13.134, ""2021"": -4.108, ""2022"": -14.023, ""2023"": -9.165, ""2024"": -13.532, ""2025"": -14.672}",-12.914,0.403,FAIL:net<=0;PF=0.447;rm_best<=0;pos_years=0
G01,G_VWAP,opening flow exhaustion -> VWAP reclaim,first opposite-side close vs VWAP after a drift (10:00-14:00),hard stop @ bar extreme + EMA8 + EOD,1288,4.16,-3.305,-16.53,0.811,0.299,-0.127,-5.748,-25206.2,"{""DISCOVERY"": 0.407, ""REPLICATION"": -5.685, ""VALIDATION"": -4.642}","{""2020"": 1.264, ""2021"": -0.553, ""2022"": -5.339, ""2023"": -3.966, ""2024"": -6.785, ""2025"": -4.62}",-4.805,0.741,FAIL:net<=0;PF=0.811;rm_best<=0;pos_years=1
G02,G_VWAP,trend refill at VWAP after opening drive,drive >=VWAP+0.25ATR then first VWAP touch,hard stop @ day extreme so far + EMA8 + EOD,97,0.31,2.835,14.18,1.147,0.443,0.051,1.198,-3422.5,"{""DISCOVERY"": -1.717, ""REPLICATION"": 14.981, ""VALIDATION"": -2.09}","{""2020"": 5.529, ""2021"": -6.116, ""2022"": -12.058, ""2023"": 8.708, ""2024"": 25.104, ""2025"": 6.883}",1.335,1.067,FAIL:PF=1.147;year_concentration>60%
H01,H_TREND_DAY,early trend-state identification,10:00: |efficiency|>=0.4 and range30>=0.5 ATR,hard stop @ first-30m extreme + chandelier 1.0 + EOD,318,1.03,9.909,49.54,1.187,0.469,0.045,0.925,-8213.8,"{""DISCOVERY"": -3.422, ""REPLICATION"": 19.083, ""VALIDATION"": 13.481}","{""2020"": -8.36, ""2021"": -0.157, ""2022"": 16.036, ""2023"": 10.779, ""2024"": -2.176, ""2025"": 40.343}",8.409,1.156,FAIL:pos_years=3;year_concentration>60%
H02,H_TREND_DAY,"same, strong cell",10:00: |efficiency|>=0.6 and range30>=0.5 ATR,same as H01,226,0.73,15.07,75.35,1.284,0.487,0.069,4.309,-6626.2,"{""DISCOVERY"": 0.356, ""REPLICATION"": 15.402, ""VALIDATION"": 27.976}","{""2020"": -17.74, ""2021"": 12.119, ""2022"": 40.568, ""2023"": 15.035, ""2024"": -4.755, ""2025"": 38.018}",13.57,1.252,PASS
I01,I_COMPRESSION,prior-day compression coiled; break expands,pd_range<=0.7x20d avg then first close beyond OR15,hard stop @ bar extreme + EMA8 + EOD,375,1.21,2.154,10.77,1.139,0.357,0.056,0.075,-3747.5,"{""DISCOVERY"": 4.699, ""REPLICATION"": -0.456, ""VALIDATION"": 1.953}","{""2020"": -0.708, ""2021"": 10.598, ""2022"": 4.455, ""2023"": -0.504, ""2024"": 4.076, ""2025"": -4.082}",0.654,1.04,FAIL:PF=1.139;pos_years=3;year_concentration>60%
I02,I_COMPRESSION,overnight coil -> expansion,on_range<=0.6 ATR then first close beyond OR15,same as I01,835,2.7,-1.245,-6.22,0.932,0.319,0.005,-3.84,-7162.5,"{""DISCOVERY"": -0.12, ""REPLICATION"": -0.385, ""VALIDATION"": -2.969}","{""2020"": -0.897, ""2021"": 0.498, ""2022"": -4.574, ""2023"": -1.437, ""2024"": 1.898, ""2025"": -2.701}",-2.745,0.858,FAIL:net<=0;PF=0.932;rm_best<=0;pos_years=2
J01,J_VOL_SHOCK,opening shock continues,first 5m range>=1.5x20d avg and net>=1x avg,hard stop @ shock extreme + chandelier 1.0 + EOD,121,0.39,2.946,14.73,1.042,0.322,0.004,-12.304,-17211.2,"{""DISCOVERY"": -57.145, ""REPLICATION"": 60.161, ""VALIDATION"": -2.467}","{""2020"": -77.761, ""2021"": -33.438, ""2022"": -33.625, ""2023"": 24.797, ""2024"": 46.196, ""2025"": 73.01}",1.446,1.02,FAIL:PF=1.042;rm_best<=0;pos_years=3
J02,J_VOL_SHOCK,opening shock exhausts,"same trigger, opposite side",hard stop beyond shock extreme + target VWAP + time 12,121,0.39,1.972,9.86,1.138,0.421,2.155,1.042,-1468.8,"{""DISCOVERY"": 6.328, ""REPLICATION"": 3.155, ""VALIDATION"": -6.164}","{""2020"": 10.843, ""2021"": 1.136, ""2022"": -9.055, ""2023"": -3.635, ""2024"": 3.659, ""2025"": 2.691}",0.472,1.031,FAIL:PF=1.138;year_concentration>60%
K01,K_FAILED_AUCTION,prior-day level failed auction,wick beyond PDH/PDL + close back inside (<=11:00),hard stop @ sweep extreme + target PD midpoint + time 18,759,2.45,-1.351,-6.75,0.941,0.333,-0.064,-3.745,-11998.8,"{""DISCOVERY"": -5.705, ""REPLICATION"": 2.06, ""VALIDATION"": -0.47}","{""2020"": -6.476, ""2021"": -5.005, ""2022"": -2.294, ""2023"": 1.298, ""2024"": -0.357, ""2025"": 4.346}",-2.851,0.881,FAIL:net<=0;PF=0.941;rm_best<=0;pos_years=2
K02,K_FAILED_AUCTION,opening-range failed auction,wick beyond OR15 + close back inside,hard stop @ sweep extreme + target OR midpoint + time 18,1259,4.07,-0.731,-3.65,0.948,0.481,-0.092,-1.799,-12935.0,"{""DISCOVERY"": 1.264, ""REPLICATION"": -4.028, ""VALIDATION"": 0.531}","{""2020"": 0.727, ""2021"": 1.822, ""2022"": -0.594, ""2023"": 1.625, ""2024"": -6.047, ""2025"": -1.939}",-2.231,0.849,FAIL:net<=0;PF=0.948;rm_best<=0;pos_years=3
L01,L_FIRST_PULLBACK,trend refill after impulse at EMA20,impulse>=0.5 ATR & eff>=0.5 then first EMA20 touch,hard stop @ impulse extreme + EMA8 + EOD,242,0.78,-1.291,-6.46,0.912,0.405,1.822,-4.136,-5315.0,"{""DISCOVERY"": -8.769, ""REPLICATION"": 0.952, ""VALIDATION"": 4.029}","{""2020"": -9.86, ""2021"": -7.926, ""2022"": 13.641, ""2023"": -8.065, ""2024"": -0.342, ""2025"": 2.361}",-2.791,0.822,FAIL:net<=0;PF=0.912;rm_best<=0;pos_years=2
M01,M_LUNCH,lunch compression resolves into afternoon trend,first 5m close beyond lunch range after 13:30,hard stop @ opposite lunch side + chandelier 0.7 + EOD,1316,4.25,0.522,2.61,1.019,0.463,0.011,-3.326,-13630.0,"{""DISCOVERY"": 0.416, ""REPLICATION"": -3.548, ""VALIDATION"": 4.454}","{""2020"": -0.919, ""2021"": 1.805, ""2022"": 8.955, ""2023"": 0.012, ""2024"": 2.905, ""2025"": -10.124}",-0.978,0.965,FAIL:PF=1.019;rm_best<=0;year_concentration>60%
N01,N_POWER_HOUR,closing flow continues into the close,first >=15:00 close at new running day extreme,hard stop @ last-30m opposite extreme + EOD only,471,1.52,1.565,7.82,1.099,0.401,-0.014,-0.698,-6045.0,"{""DISCOVERY"": 2.506, ""REPLICATION"": -6.612, ""VALIDATION"": 5.932}","{""2020"": 0.688, ""2021"": 4.993, ""2022"": 11.041, ""2023"": -1.094, ""2024"": -5.829, ""2025"": -7.254}",0.065,1.004,FAIL:PF=1.099;rm_best<=0;pos_years=3;year_concentration>60%
O01,O_ON_TRANSFER,overnight drift transfers when premarket is narrow,ON z>=1.0 and pm_range<=0.5x ON range at 09:35,hard stop @ premarket/10m extreme + chandelier 1.0 + EOD,133,0.43,14.308,71.54,1.515,0.256,0.063,12.055,-3062.5,"{""DISCOVERY"": 6.873, ""REPLICATION"": 13.786, ""VALIDATION"": 28.703}","{""2020"": -13.073, ""2021"": 28.955, ""2022"": 43.319, ""2023"": 9.911, ""2024"": 23.0, ""2025"": 5.409}",12.808,1.443,PASS
E01b,E_GAP,overnight repricing persists (stronger cell),"|gap|>=0.5 ATR at 09:35, with the gap",hard stop @ first-10m extreme + chandelier 1.0 + EOD,357,1.15,6.547,32.73,1.245,0.23,0.309,2.429,-4380.0,"{""DISCOVERY"": 6.054, ""REPLICATION"": 4.013, ""VALIDATION"": 10.337}","{""2020"": 3.203, ""2021"": 9.096, ""2022"": 29.802, ""2023"": -6.65, ""2024"": 14.881, ""2025"": -5.594}",5.047,,FAIL:year_concentration>60%
F01b,F_ON_INVENTORY,extreme overnight return continues (stronger cell),"overnight z>=2.0 at 09:35, with the z sign",hard stop @ first-10m extreme + chandelier 1.0 + EOD,129,0.42,5.992,29.96,1.202,0.186,-0.705,3.135,-3807.5,"{""DISCOVERY"": -6.077, ""REPLICATION"": 4.315, ""VALIDATION"": 23.408}","{""2020"": -18.192, ""2021"": 7.62, ""2022"": 47.076, ""2023"": -12.883, ""2024"": 30.398, ""2025"": -24.375}",4.492,,FAIL:pos_years=3;year_concentration>60%
