DATE,CONTRACT,START,END
2021-09-13,NQU1,2021-09-13 13:55:00+00:00,2021-09-13 20:05:00+00:00
2021-09-14,NQU1,2021-09-14 13:55:00+00:00,2021-09-14 20:05:00+00:00
2021-09-17,NQZ1,2021-09-17 13:55:00+00:00,2021-09-17 20:05:00+00:00
2021-10-01,NQZ1,2021-10-01 13:55:00+00:00,2021-10-01 17:55:00+00:00
2021-10-04,NQZ1,2021-10-04 13:55:00+00:00,2021-10-04 20:05:00+00:00
2021-10-11,NQZ1,2021-10-11 13:55:00+00:00,2021-10-11 20:00:00+00:00
2021-11-01,NQZ1,2021-11-01 13:55:00+00:00,2021-11-01 17:10:00+00:00
2021-11-02,NQZ1,2021-11-02 13:55:00+00:00,2021-11-02 20:05:00+00:00
2021-11-04,NQZ1,2021-11-04 13:55:00+00:00,2021-11-04 20:05:00+00:00
2021-11-09,NQZ1,2021-11-09 14:55:00+00:00,2021-11-09 21:05:00+00:00
2021-11-16,NQZ1,2021-11-16 14:55:00+00:00,2021-11-16 21:05:00+00:00
2021-11-19,NQZ1,2021-11-19 14:55:00+00:00,2021-11-19 21:05:00+00:00
2021-11-22,NQZ1,2021-11-22 14:55:00+00:00,2021-11-22 16:20:00+00:00
2021-12-02,NQZ1,2021-12-02 14:55:00+00:00,2021-12-02 15:50:00+00:00
2021-12-03,NQZ1,2021-12-03 14:55:00+00:00,2021-12-03 21:05:00+00:00
2021-12-16,NQH2,2021-12-16 14:55:00+00:00,2021-12-16 21:05:00+00:00
2022-01-10,NQH2,2022-01-10 14:55:00+00:00,2022-01-10 19:00:00+00:00
2022-01-14,NQH2,2022-01-14 14:55:00+00:00,2022-01-14 21:05:00+00:00
2022-01-28,NQH2,2022-01-28 14:55:00+00:00,2022-01-28 16:00:00+00:00
2022-01-31,NQH2,2022-01-31 14:55:00+00:00,2022-01-31 21:05:00+00:00
2022-02-22,NQH2,2022-02-22 14:55:00+00:00,2022-02-22 17:00:00+00:00
2022-02-24,NQH2,2022-02-24 14:55:00+00:00,2022-02-24 21:05:00+00:00
2022-03-07,NQH2,2022-03-07 14:55:00+00:00,2022-03-07 21:05:00+00:00
2022-04-04,NQM2,2022-04-04 13:55:00+00:00,2022-04-04 20:05:00+00:00
2022-04-06,NQM2,2022-04-06 13:55:00+00:00,2022-04-06 19:10:00+00:00
2022-04-08,NQM2,2022-04-08 13:55:00+00:00,2022-04-08 15:10:00+00:00
2022-04-19,NQM2,2022-04-19 13:55:00+00:00,2022-04-19 20:05:00+00:00
2022-04-20,NQM2,2022-04-20 13:55:00+00:00,2022-04-20 20:05:00+00:00
2022-04-26,NQM2,2022-04-26 13:55:00+00:00,2022-04-26 20:05:00+00:00
2022-04-27,NQM2,2022-04-27 13:55:00+00:00,2022-04-27 14:20:00+00:00
2022-04-29,NQM2,2022-04-29 13:55:00+00:00,2022-04-29 14:35:00+00:00
2022-05-05,NQM2,2022-05-05 13:55:00+00:00,2022-05-05 20:05:00+00:00
2022-05-06,NQM2,2022-05-06 13:55:00+00:00,2022-05-06 14:25:00+00:00
2022-05-26,NQM2,2022-05-26 13:55:00+00:00,2022-05-26 20:05:00+00:00
2022-06-24,NQU2,2022-06-24 13:55:00+00:00,2022-06-24 20:05:00+00:00
2022-06-27,NQU2,2022-06-27 13:55:00+00:00,2022-06-27 20:05:00+00:00
2022-06-30,NQU2,2022-06-30 13:55:00+00:00,2022-06-30 15:35:00+00:00
2022-07-11,NQU2,2022-07-11 13:55:00+00:00,2022-07-11 20:05:00+00:00
2022-07-13,NQU2,2022-07-13 13:55:00+00:00,2022-07-13 20:05:00+00:00
2022-08-03,NQU2,2022-08-03 13:55:00+00:00,2022-08-03 20:05:00+00:00
2022-08-08,NQU2,2022-08-08 13:55:00+00:00,2022-08-08 15:50:00+00:00
2022-08-19,NQU2,2022-08-19 13:55:00+00:00,2022-08-19 20:05:00+00:00
2022-09-02,NQU2,2022-09-02 13:55:00+00:00,2022-09-02 14:40:00+00:00
2022-09-26,NQZ2,2022-09-26 13:55:00+00:00,2022-09-26 16:35:00+00:00
2022-09-29,NQZ2,2022-09-29 13:55:00+00:00,2022-09-29 20:05:00+00:00
2022-10-04,NQZ2,2022-10-04 13:55:00+00:00,2022-10-04 20:05:00+00:00
2022-10-14,NQZ2,2022-10-14 13:55:00+00:00,2022-10-14 20:05:00+00:00
2022-10-21,NQZ2,2022-10-21 13:55:00+00:00,2022-10-21 20:05:00+00:00
2022-11-01,NQZ2,2022-11-01 13:55:00+00:00,2022-11-01 20:05:00+00:00
2022-12-06,NQZ2,2022-12-06 14:55:00+00:00,2022-12-06 21:05:00+00:00
2022-12-15,NQH3,2022-12-15 14:55:00+00:00,2022-12-15 21:05:00+00:00
2022-12-22,NQH3,2022-12-22 14:55:00+00:00,2022-12-22 21:05:00+00:00
2022-12-27,NQH3,2022-12-27 14:55:00+00:00,2022-12-27 21:05:00+00:00
2023-01-03,NQH3,2023-01-03 14:55:00+00:00,2023-01-03 21:05:00+00:00
2023-01-09,NQH3,2023-01-09 14:55:00+00:00,2023-01-09 20:40:00+00:00
2023-01-12,NQH3,2023-01-12 14:55:00+00:00,2023-01-12 17:25:00+00:00
2023-01-23,NQH3,2023-01-23 14:55:00+00:00,2023-01-23 21:05:00+00:00
2023-01-27,NQH3,2023-01-27 14:55:00+00:00,2023-01-27 21:05:00+00:00
2023-02-03,NQH3,2023-02-03 14:55:00+00:00,2023-02-03 20:05:00+00:00
2023-03-09,NQH3,2023-03-09 14:55:00+00:00,2023-03-09 17:55:00+00:00
2023-03-10,NQH3,2023-03-10 14:55:00+00:00,2023-03-10 16:20:00+00:00
2023-04-12,NQM3,2023-04-12 13:55:00+00:00,2023-04-12 20:05:00+00:00
2023-04-14,NQM3,2023-04-14 13:55:00+00:00,2023-04-14 14:35:00+00:00
2023-05-22,NQM3,2023-05-22 13:55:00+00:00,2023-05-22 20:05:00+00:00
2023-05-25,NQM3,2023-05-25 13:55:00+00:00,2023-05-25 15:20:00+00:00
2023-05-26,NQM3,2023-05-26 13:55:00+00:00,2023-05-26 20:05:00+00:00
2023-06-09,NQM3,2023-06-09 13:55:00+00:00,2023-06-09 15:35:00+00:00
2023-06-13,NQM3,2023-06-13 13:55:00+00:00,2023-06-13 20:05:00+00:00
2023-06-16,NQU3,2023-06-16 13:55:00+00:00,2023-06-16 20:05:00+00:00
2023-06-21,NQU3,2023-06-21 13:55:00+00:00,2023-06-21 20:05:00+00:00
2023-06-22,NQU3,2023-06-22 13:55:00+00:00,2023-06-22 20:05:00+00:00
2023-06-26,NQU3,2023-06-26 13:55:00+00:00,2023-06-26 15:15:00+00:00
2023-07-05,NQU3,2023-07-05 13:55:00+00:00,2023-07-05 20:05:00+00:00
2023-07-14,NQU3,2023-07-14 13:55:00+00:00,2023-07-14 18:35:00+00:00
2023-07-21,NQU3,2023-07-21 13:55:00+00:00,2023-07-21 20:05:00+00:00
2023-08-08,NQU3,2023-08-08 13:55:00+00:00,2023-08-08 20:05:00+00:00
2023-08-10,NQU3,2023-08-10 13:55:00+00:00,2023-08-10 15:30:00+00:00
2023-08-24,NQU3,2023-08-24 13:55:00+00:00,2023-08-24 20:05:00+00:00
2023-08-29,NQU3,2023-08-29 13:55:00+00:00,2023-08-29 20:05:00+00:00
2023-09-15,NQZ3,2023-09-15 13:55:00+00:00,2023-09-15 20:05:00+00:00
2023-09-19,NQZ3,2023-09-19 13:55:00+00:00,2023-09-19 17:55:00+00:00
2023-10-03,NQZ3,2023-10-03 13:55:00+00:00,2023-10-03 14:20:00+00:00
2023-10-05,NQZ3,2023-10-05 13:55:00+00:00,2023-10-05 20:05:00+00:00
2023-10-25,NQZ3,2023-10-25 13:55:00+00:00,2023-10-25 20:05:00+00:00
2023-10-26,NQZ3,2023-10-26 13:55:00+00:00,2023-10-26 20:05:00+00:00
2023-11-20,NQZ3,2023-11-20 14:55:00+00:00,2023-11-20 21:05:00+00:00
2023-12-05,NQZ3,2023-12-05 14:55:00+00:00,2023-12-05 21:05:00+00:00
2023-12-06,NQZ3,2023-12-06 14:55:00+00:00,2023-12-06 21:05:00+00:00
2023-12-11,NQZ3,2023-12-11 14:55:00+00:00,2023-12-11 21:05:00+00:00
2024-01-02,NQH4,2024-01-02 14:55:00+00:00,2024-01-02 21:05:00+00:00
2024-01-08,NQH4,2024-01-08 14:55:00+00:00,2024-01-08 21:05:00+00:00
2024-01-17,NQH4,2024-01-17 14:55:00+00:00,2024-01-17 19:55:00+00:00
2024-02-06,NQH4,2024-02-06 14:55:00+00:00,2024-02-06 21:05:00+00:00
2024-02-16,NQH4,2024-02-16 14:55:00+00:00,2024-02-16 21:05:00+00:00
2024-03-05,NQH4,2024-03-05 14:55:00+00:00,2024-03-05 21:05:00+00:00
2024-03-06,NQH4,2024-03-06 14:55:00+00:00,2024-03-06 17:05:00+00:00
2024-03-14,NQM4,2024-03-14 13:55:00+00:00,2024-03-14 20:05:00+00:00
2024-03-27,NQM4,2024-03-27 13:55:00+00:00,2024-03-27 20:05:00+00:00
2024-04-01,NQM4,2024-04-01 13:55:00+00:00,2024-04-01 14:45:00+00:00
2024-04-03,NQM4,2024-04-03 13:55:00+00:00,2024-04-03 20:05:00+00:00
2024-05-02,NQM4,2024-05-02 13:55:00+00:00,2024-05-02 17:35:00+00:00
2024-05-20,NQM4,2024-05-20 13:55:00+00:00,2024-05-20 20:05:00+00:00
2024-05-23,NQM4,2024-05-23 13:55:00+00:00,2024-05-23 20:05:00+00:00
2024-05-29,NQM4,2024-05-29 13:55:00+00:00,2024-05-29 20:05:00+00:00
2024-06-12,NQM4,2024-06-12 13:55:00+00:00,2024-06-12 20:05:00+00:00
2024-06-27,NQU4,2024-06-27 13:55:00+00:00,2024-06-27 15:35:00+00:00
2024-06-28,NQU4,2024-06-28 13:55:00+00:00,2024-06-28 16:25:00+00:00
2024-07-02,NQU4,2024-07-02 13:55:00+00:00,2024-07-02 20:05:00+00:00
2024-07-05,NQU4,2024-07-05 13:55:00+00:00,2024-07-05 20:05:00+00:00
2024-07-12,NQU4,2024-07-12 13:55:00+00:00,2024-07-12 20:05:00+00:00
2024-07-17,NQU4,2024-07-17 13:55:00+00:00,2024-07-17 20:05:00+00:00
2024-07-24,NQU4,2024-07-24 13:55:00+00:00,2024-07-24 20:05:00+00:00
2024-07-25,NQU4,2024-07-25 13:55:00+00:00,2024-07-25 15:20:00+00:00
2024-08-05,NQU4,2024-08-05 13:55:00+00:00,2024-08-05 20:05:00+00:00
2024-08-29,NQU4,2024-08-29 13:55:00+00:00,2024-08-29 18:40:00+00:00
2024-09-03,NQU4,2024-09-03 13:55:00+00:00,2024-09-03 20:05:00+00:00
2024-09-05,NQU4,2024-09-05 13:55:00+00:00,2024-09-05 15:35:00+00:00
2024-09-06,NQU4,2024-09-06 13:55:00+00:00,2024-09-06 20:05:00+00:00
2024-10-01,NQZ4,2024-10-01 13:55:00+00:00,2024-10-01 20:05:00+00:00
2024-10-03,NQZ4,2024-10-03 13:55:00+00:00,2024-10-03 17:10:00+00:00
2024-10-04,NQZ4,2024-10-04 13:55:00+00:00,2024-10-04 20:05:00+00:00
2024-10-14,NQZ4,2024-10-14 13:55:00+00:00,2024-10-14 15:10:00+00:00
2024-10-16,NQZ4,2024-10-16 13:55:00+00:00,2024-10-16 18:30:00+00:00
2024-10-17,NQZ4,2024-10-17 13:55:00+00:00,2024-10-17 20:05:00+00:00
2024-10-25,NQZ4,2024-10-25 13:55:00+00:00,2024-10-25 17:50:00+00:00
2024-10-31,NQZ4,2024-10-31 13:55:00+00:00,2024-10-31 20:05:00+00:00
2024-11-05,NQZ4,2024-11-05 14:55:00+00:00,2024-11-05 21:05:00+00:00
2024-11-20,NQZ4,2024-11-20 14:55:00+00:00,2024-11-20 21:05:00+00:00
2024-11-21,NQZ4,2024-11-21 14:55:00+00:00,2024-11-21 17:40:00+00:00
2024-12-02,NQZ4,2024-12-02 14:55:00+00:00,2024-12-02 21:05:00+00:00
2024-12-06,NQZ4,2024-12-06 14:55:00+00:00,2024-12-06 21:05:00+00:00
2024-12-11,NQZ4,2024-12-11 14:55:00+00:00,2024-12-11 21:05:00+00:00
2024-12-13,NQZ4,2024-12-13 14:55:00+00:00,2024-12-13 15:50:00+00:00
2024-12-19,NQH5,2024-12-19 14:55:00+00:00,2024-12-19 21:05:00+00:00
2024-12-27,NQH5,2024-12-27 14:55:00+00:00,2024-12-27 21:05:00+00:00
2025-01-10,NQH5,2025-01-10 14:55:00+00:00,2025-01-10 21:05:00+00:00
2025-01-27,NQH5,2025-01-27 14:55:00+00:00,2025-01-27 20:00:00+00:00
2025-02-04,NQH5,2025-02-04 14:55:00+00:00,2025-02-04 21:05:00+00:00
2025-02-20,NQH5,2025-02-20 14:55:00+00:00,2025-02-20 21:05:00+00:00
2025-02-21,NQH5,2025-02-21 14:55:00+00:00,2025-02-21 21:05:00+00:00
2025-02-24,NQH5,2025-02-24 14:55:00+00:00,2025-02-24 21:05:00+00:00
2025-02-25,NQH5,2025-02-25 14:55:00+00:00,2025-02-25 18:15:00+00:00
2025-02-27,NQH5,2025-02-27 14:55:00+00:00,2025-02-27 21:05:00+00:00
2025-03-03,NQH5,2025-03-03 14:55:00+00:00,2025-03-03 21:05:00+00:00
2025-04-02,NQM5,2025-04-02 13:55:00+00:00,2025-04-02 20:05:00+00:00
2025-04-09,NQM5,2025-04-09 13:55:00+00:00,2025-04-09 20:05:00+00:00
2025-05-19,NQM5,2025-05-19 13:55:00+00:00,2025-05-19 20:05:00+00:00
2025-05-22,NQM5,2025-05-22 13:55:00+00:00,2025-05-22 20:05:00+00:00
2025-05-29,NQM5,2025-05-29 13:55:00+00:00,2025-05-29 20:05:00+00:00
2025-06-16,NQM5,2025-06-16 13:55:00+00:00,2025-06-16 20:05:00+00:00
2025-07-09,NQU5,2025-07-09 13:55:00+00:00,2025-07-09 14:45:00+00:00
2025-07-10,NQU5,2025-07-10 13:55:00+00:00,2025-07-10 20:05:00+00:00
2025-07-15,NQU5,2025-07-15 13:55:00+00:00,2025-07-15 20:05:00+00:00
2025-07-16,NQU5,2025-07-16 13:55:00+00:00,2025-07-16 17:05:00+00:00
2025-07-21,NQU5,2025-07-21 13:55:00+00:00,2025-07-21 20:05:00+00:00
2025-07-22,NQU5,2025-07-22 13:55:00+00:00,2025-07-22 20:05:00+00:00
2025-07-23,NQU5,2025-07-23 13:55:00+00:00,2025-07-23 16:00:00+00:00
2025-08-01,NQU5,2025-08-01 13:55:00+00:00,2025-08-01 20:05:00+00:00
2025-08-04,NQU5,2025-08-04 13:55:00+00:00,2025-08-04 20:05:00+00:00
2025-08-20,NQU5,2025-08-20 13:55:00+00:00,2025-08-20 19:30:00+00:00
2025-08-29,NQU5,2025-08-29 13:55:00+00:00,2025-08-29 20:05:00+00:00
2025-09-25,NQZ5,2025-09-25 13:55:00+00:00,2025-09-25 14:20:00+00:00
2025-10-02,NQZ5,2025-10-02 13:55:00+00:00,2025-10-02 20:05:00+00:00
2025-10-08,NQZ5,2025-10-08 13:55:00+00:00,2025-10-08 20:05:00+00:00
2025-11-04,NQZ5,2025-11-04 14:55:00+00:00,2025-11-04 17:25:00+00:00
2025-11-05,NQZ5,2025-11-05 14:55:00+00:00,2025-11-05 21:05:00+00:00
2025-11-06,NQZ5,2025-11-06 14:55:00+00:00,2025-11-06 21:05:00+00:00
2025-11-12,NQZ5,2025-11-12 14:55:00+00:00,2025-11-12 21:05:00+00:00
2025-11-14,NQZ5,2025-11-14 14:55:00+00:00,2025-11-14 21:05:00+00:00
2025-11-17,NQZ5,2025-11-17 14:55:00+00:00,2025-11-17 16:25:00+00:00
2025-11-18,NQZ5,2025-11-18 14:55:00+00:00,2025-11-18 21:05:00+00:00
2025-11-19,NQZ5,2025-11-19 14:55:00+00:00,2025-11-19 17:40:00+00:00
2025-12-11,NQZ5,2025-12-11 14:55:00+00:00,2025-12-11 18:45:00+00:00
2025-12-15,NQZ5,2025-12-15 14:55:00+00:00,2025-12-15 21:05:00+00:00
2025-12-16,NQZ5,2025-12-16 14:55:00+00:00,2025-12-16 15:35:00+00:00
2025-12-19,NQH6,2025-12-19 14:55:00+00:00,2025-12-19 21:05:00+00:00
